time_x,LW_u,LW_d
77081.25,406.5176,351.285
77081.2708333333,417.7827,354.1867
77081.2916666667,427.8409,358.0516
77081.3125,439.0094,362.8766
77081.3333333333,451.8661,369.8122
77081.3541666667,464.2651,374.0558
77081.375,473.6974,378.0884
77081.3958333333,484.1085,384.3605
77081.4166666667,497.018,389.9559
77081.4375,507.974,396.6631
77081.4583333333,515.3538,402.3725
77081.4791666667,521.5596,408.6687
77081.5,523.3943,404.4361
77081.5208333333,524.9135,414.8574
77081.5416666667,529.0322,405.8047
77081.5625,529.6424,412.472
77081.5833333333,528.4641,411.5865
77081.6041666667,528.1804,408.6294
77081.625,524.8464,404.7643
77081.6458333333,523.5811,406.4336
77081.6666666667,521.4738,406.0937
77081.6875,514.806,404.7498
77081.7083333333,507.7087,402.1696
77081.7291666667,500.0289,402.5702
77081.75,490.2345,399.9239
77081.7708333333,481.3571,403.2577
77081.7916666667,472.4988,405.1954
77081.8125,462.0182,401.667
77081.8333333333,454.7545,394.6818
77081.8541666667,448.1242,385.8813
77081.875,439.9396,373.0004
77081.8958333333,432.261,365.8604
77081.9166666667,427.6092,362.9181
77081.9375,424.3317,358.9598
77081.9583333333,419.9054,352.5247
77081.9791666667,418.0067,347.9651
77082,414.4126,343.1213
77082.0208333333,411.1492,337.9042
77082.0416666667,406.8581,332.4601
77082.0625,401.4438,324.1249
77082.0833333333,398.9557,321.7944
77082.1041666667,396.6579,322.0001
77082.125,394.1505,319.6333
77082.1458333333,392.8955,316.8946
77082.1666666667,392.9497,314.9046
77082.1875,391.8288,312.0982
77082.2083333333,390.5898,309.711
77082.2291666667,388.7669,306.4604
77082.25,389.8461,304.3152
77082.2708333333,394.2299,302.4848
77082.2916666667,400.0987,302.2722
77082.3125,406.5895,303.2088
77082.3333333333,412.6124,304.2928
77082.3541666667,422.8659,307.6804
77082.375,432.7323,313.866
77082.3958333333,443.1226,316.4137
77082.4166666667,452.2741,322.6546
77082.4375,457.4768,324.8447
77082.4583333333,460.8783,325.0361
77082.4791666667,466.9987,329.1005
77082.5,474.141,338.2249
77082.5208333333,479.5304,337.5158
77082.5416666667,477.4885,340.5631
77082.5625,476.306,346.9734
77082.5833333333,482.1028,347.524
77082.6041666667,483.4214,352.238
77082.625,483.988,358.7432
77082.6458333333,469.8927,360.3003
77082.6666666667,468.1513,368.6955
77082.6875,451.8584,365.6054
77082.7083333333,442.3984,365.4702
77082.7291666667,436.1142,366.6642
77082.75,430.4261,354.0924
77082.7708333333,422.1803,342.8987
77082.7916666667,414.8085,359.633
77082.8125,409.8103,355.6904
77082.8333333333,400.9681,325.9696
77082.8541666667,399.1541,342.6853
77082.875,397.6779,327.4695
77082.8958333333,393.2916,323.8554
77082.9166666667,396.419,343.5677
77082.9375,390.3882,313.7518
77082.9583333333,387.2891,315.4353
77082.9791666667,385.0571,312.927
77083,386.1109,314.9169
77083.0208333333,385.7196,310.3302
77083.0416666667,383.6334,306.2879
77083.0625,381.0303,304.7014
77083.0833333333,379.1834,301.3664
77083.1041666667,377.4701,299.9872
